"Apparent Polar Wander Paths. Source: Besse & Courtillot (2002) for plate 701, van der Voo et al. (2015) for plate 601",,,,
Plate ID,Age,A95,Plat,Plon
701,0,2.6,86.2,176.9
701,10,2,85.3,173.5
701,20,2.7,83.9,175.9
701,30,3.8,81.8,190.7
701,40,3.3,79,201.1
701,50,3.4,76.9,210.3
701,60,2.8,74.3,225.7
701,70,3.2,71.9,233.7
701,80,6,70.3,241.6
701,90,5.3,66.7,248.7
701,100,6.8,65.4,248
701,110,4.1,57.9,259
701,120,2.3,54,261.1
701,130,3.2,50,262.1
701,140,6.5,45.7,264.5
701,150,6.8,52.9,260.6
701,160,5,55.1,259.9
701,170,6,60.8,260.9
701,180,5.4,66,260.1
701,190,4.2,64.7,259
701,200,4.3,62.2,252.4
601,120,4.1,78,162.5
601,130,6.6,81.1,168
601,150,5.1,72.3,177
601,160,4.7,74.7,174.3
601,170,9.6,78,160.7
601,180,3.3,84.2,106
601,210,16,68.4,42.1
601,240,9.6,59.1,23.5
601,250,7.1,56.5,18
