"Apparent Polar Wander Paths. Source: Kent & Irving (2010) for plate 701, van der Voo et al. (2015) for plate 601",,,,
Plate ID,Age,A95,Plat,Plon
701,50,5.4,78.495,207.3
701,60,5.5,76.063,219.68
701,70,4.6,73.551,235.02
701,80,4.5,70.759,232.95
701,90,3.4,66.751,240.57
701,100,4.4,59.904,255.4
701,110,4.5,57.067,260.32
701,120,2.7,47.014,265.03
701,130,2.4,43.433,266.67
701,140,6.8,35.478,267.73
701,150,9,30.757,270.65
701,160,7.5,59.211,264.92
701,170,6.5,59.271,264.7
701,180,5.5,57.952,273.23
701,190,6.7,59.498,273.75
701,200,3.8,65.547,250.6
601,120,4.1,78,162.5
601,130,6.6,81.1,168
601,150,5.1,72.3,177
601,160,4.7,74.7,174.3
601,170,9.6,78,160.7
601,180,3.3,84.2,106
601,210,16,68.4,42.1
601,240,9.6,59.1,23.5
601,250,7.1,56.5,18
