Plate ID,Age,lat,lon,rot
101,0,0,0,0
101,10,78,11.5,2.52
101,20,78,11.5,5.04
101,30,78,11.5,7.56
101,40,78.34,9.79,10.56
101,50,79.2,4.62,15.16
101,60,79.58,-2.74,19.03
101,70,79.65,-10.45,22.41
101,80,78.7,-17.31,26.46
101,90,73.6,-23.8,34.55
101,100,-70.82,158.02,-41.16
101,110,-68.9,159.17,-47.8
101,120,-67.16,160.1,-54.11
101,130,65.16,-18.51,58.33
101,140,64.95,-18.19,60.89
101,150,64.77,-17.9,63.45
101,160,64.74,-17.62,66.17
101,170,64.99,-17.34,69.22
101,180,65.23,-17.08,72.26
101,190,65.44,-16.83,75.31
101,200,65.44,-16.83,75.31
102,0,0,0,0
102,10,78,11.5,2.52
102,20,78,11.5,5.04
102,30,78,11.5,7.56
102,40,75.62,24.65,9.48
102,50,73.03,32.96,13.06
102,60,70.38,23.82,17.49
102,70,68.2,23.46,18.01
102,80,67.14,23.52,18.8
102,90,65.25,8.93,24.93
102,100,-63.71,-174.98,-31.03
102,110,-32.81,-177.22,-37.27
102,120,-31.85,-178.7,-43.31
102,130,60.2,0.57,47.78
102,140,60.39,0.28,50.34
102,150,60.57,0.02,52.9
102,160,60.93,-0.17,55.61
102,170,61.6,-0.26,58.6
102,180,62.22,-0.35,61.59
102,190,62.78,-0.43,64.59
102,200,62.78,-0.43,64.59
103,0,0,0,0
103,10,78,11.5,2.52
103,20,78,11.5,5.04
103,30,78,11.5,7.56
103,40,78.34,9.79,10.56
103,50,79.2,4.62,15.16
103,60,79.58,-2.74,19.03
103,70,79.65,-10.45,22.41
103,80,78.7,-17.31,26.46
103,90,73.6,-23.8,34.55
103,100,-70.82,158.02,-41.16
103,110,-68.9,159.17,-47.8
103,120,-67.16,160.1,-54.11
103,130,64.69,-15.27,56.9
103,140,60.41,1.11,52.22
103,150,43.56,23.94,43.46
103,160,45.26,23.62,45.85
103,170,47.29,23.51,48.45
103,180,49.12,23.41,51.09
103,190,50.78,23.31,53.77
103,200,50.78,23.31,53.77
104,0,0,0,0
104,10,78,11.5,2.52
104,20,78,11.5,5.04
104,30,78,11.5,7.56
104,40,78.34,9.79,10.56
104,50,79.2,4.62,15.16
104,60,79.58,-2.74,19.03
104,70,79.65,-10.45,22.41
104,80,78.7,-17.31,26.46
104,90,73.6,-23.8,34.55
104,100,-70.82,158.02,-41.16
104,110,-68.9,159.17,-47.8
104,120,-67.16,160.1,-54.11
104,130,65.16,-18.51,58.33
104,140,64.95,-18.19,60.89
104,150,64.77,-17.9,63.45
104,160,64.97,-18.05,65.63
104,170,65.5,-18.39,67.92
104,180,65.71,-18.12,70.97
104,190,65.91,-17.87,74.02
104,200,65.91,-17.87,74.02
105,0,0,0,0
105,10,65.07,-45.69,7.88
105,20,69.09,-37.96,10.28
105,30,71.35,-31.64,12.72
105,40,73,-26.72,15.67
105,50,74.64,-23.62,20.24
105,60,75.31,-24.13,24.12
105,70,75.58,-26.23,27.53
105,80,75.08,-27.94,31.63
105,90,71.19,-29.08,39.84
105,100,-68.99,153.6,-46.47
113,0,0,0,0
113,10,78,11.5,2.52
113,20,78,11.5,5.04
113,30,78,11.5,7.56
113,40,78.34,9.79,10.56
113,50,79.2,4.62,15.16
113,60,79.58,-2.74,19.03
113,70,79.65,-10.45,22.41
113,80,78.7,-17.31,26.46
113,90,73.6,-23.8,34.55
113,100,-70.82,158.02,-41.16
113,110,-68.9,159.17,-47.8
113,120,-67.16,160.1,-54.11
113,130,67.31,-21.65,61.67
113,140,69.3,-16.67,66.18
113,150,63.37,7.32,58.55
113,160,63.68,6.79,61.26
113,170,64.28,6.45,64.25
113,180,64.82,6.12,67.24
113,190,65.33,5.81,70.24
113,200,65.33,5.81,70.24
119,0,0,0,0
119,10,78,11.5,2.52
119,20,78,11.5,5.04
119,30,78,11.5,7.56
119,40,78.34,9.79,10.56
119,50,79.2,4.62,15.16
119,60,79.58,-2.74,19.03
119,70,79.65,-10.45,22.41
119,80,78.7,-17.31,26.46
119,90,73.6,-23.8,34.55
119,100,-70.82,158.02,41.16
119,110,-68.9,159.17,-47.8
119,120,-66.51,164.21,-53
119,130,59.82,2.02,52.64
119,140,53.25,15.21,51.84
119,150,50.88,19.3,53.34
201,0,0,0,0
201,10,61.83,-40.34,3.3
201,20,58.54,-37.11,7.48
201,30,56.68,-34.55,11.94
201,40,57.07,-32.57,16.56
201,50,58.18,-31.17,20.48
201,60,62.49,-32.81,23.31
201,70,63.53,-33.44,26.08
201,80,62.69,-34.34,31.5
201,90,59.05,-34.52,37.33
201,100,55.66,-34.79,43.34
201,110,53.06,-34.96,49.45
201,120,51.64,-35,52.83
201,130,50.13,-32.83,55.33
201,140,46.8,-30.5,55.8
201,150,46.8,-30.5,55.8
201,160,46.8,-30.5,55.8
201,170,46.8,-30.5,55.8
201,180,46.8,-30.5,55.8
201,190,46.8,-30.5,55.8
201,200,46.8,-30.5,55.8
202,0,0,0,0
202,10,61.89,-40.34,3.3
202,20,58.54,-37.11,7.48
202,30,56.68,-34.55,11.94
202,40,57.07,-32.57,16.56
202,50,58.18,-31.17,20.48
202,60,62.49,-32.81,23.31
202,70,63.53,-33.44,26.08
202,80,62.69,-34.34,31.5
202,90,59.05,-34.52,37.33
202,100,55.66,-34.79,43.34
202,110,53.06,-34.96,49.45
202,120,51.64,-35,52.83
202,130,48.47,-33.36,55.45
202,140,47.5,-33.3,56.09
202,150,47.5,-33.3,56.2
202,160,47.5,-33.3,56.2
202,170,47.5,-33.3,56.2
202,180,47.5,-33.3,56.2
202,190,47.5,-33.3,56.2
202,200,47.5,-33.3,56.2
205,0,0,0,0
