Plate ID,Age,lat,lon,rot,rot_rel_plate_ID
101,50,75.92,-3.53,16.24,701
101,60,81.61,5.12,19.13,701
101,70,81.63,-6.51,22.37,701
101,80,78.24,-18.76,27.5,701
101,90,72.32,-20.87,34.64,701
101,100,65.5,-20.95,45.52,701
101,110,62.24,-19.95,51.02,701
101,120,59.86,-18.9,59.59,701
101,130,60.11,-18.4,62.47,701
101,140,60.44,-18.13,64.94,701
101,150,60.8,-17.95,67.85,701
101,160,61.64,-16.25,72.55,701
101,170,62.14,-15.33,77.1,701
101,180,61.73,-16.16,80.13,701
101,190,61.73,-16.16,80.13,701
101,200,61.73,-16.16,80.13,701
102,50,71.01,20.73,14.15,701
102,60,71.86,30.53,17.54,701
102,70,69.81,29,17.87,701
102,80,67.64,21,19.81,701
102,90,63.27,9.58,25.23,701
102,100,57.58,1.16,32.99,701
102,110,55.62,-1.2,41.3,701
102,120,54.33,-2.23,49.73,701
102,130,55.11,-2.12,52.56,701
102,140,55.88,-2.12,54.95,701
102,150,56.71,-2.23,57.78,701
102,160,58.16,-0.87,62.39,701
102,170,59.18,-0.32,66.87,701
102,180,59.1,-1.64,69.89,701
102,190,59.1,-1.64,69.89,701
102,200,59.1,-1.64,69.89,701
103,50,75.92,-3.53,16.24,701
103,60,81.61,5.12,19.13,701
103,70,81.63,-6.51,22.37,701
103,80,78.24,-18.76,27.5,701
103,90,72.32,-20.87,34.64,701
103,100,65.5,-20.95,42.52,701
103,110,62.24,-19.95,51.02,701
103,120,59.86,-18.9,59.59,701
103,130,59.62,-15.68,61.14,701
103,140,56.08,-1.51,56.83,701
103,150,41.92,20,49.03,701
103,160,45.06,21.17,53.02,701
103,170,47.58,21.6,57.01,701
103,180,48.53,20.16,59.84,701
103,190,48.53,20.16,59.84,701
103,200,48.53,20.16,59.84,701
104,50,75.92,-3.53,16.24,701
104,60,81.61,5.12,19.13,701
104,70,81.63,-6.51,22.37,701
104,80,78.24,-18.76,27.5,701
104,90,72.32,-20.87,34.64,701
104,100,65.5,-20.95,45.52,701
104,110,62.24,-19.95,51.02,701
104,120,59.86,-18.9,59.59,701
104,130,60.11,-18.4,62.47,701
104,140,60.44,-18.13,64.94,701
104,150,60.8,-17.95,67.85,701
104,160,61.82,-16.59,71.98,701
104,170,62.56,-16.12,75.77,701
104,180,62.11,-16.95,78.79,701
104,190,62.11,-16.95,78.79,701
104,200,62.11,-16.95,78.79,701
105,50,72.09,-23.75,21.41,701
105,60,77.19,-22.57,24.16,701
105,70,77.27,-25.86,27.43,701
105,80,74.77,-28.31,32.68,701
105,90,70.11,-26.66,39.93,701
105,100,64.27,-25.11,47.87,701
113,50,75.92,-3.53,16.24,701
113,60,81.61,5.12,19.13,701
113,70,81.63,-6.51,22.37,701
113,80,78.24,-18.76,27.5,701
113,90,72.32,-20.87,34.64,701
113,100,65.5,-20.95,45.52,701
113,110,62.24,-19.95,51.02,701
113,120,59.86,-18.9,59.59,701
113,130,62.32,-21.32,65.58,701
113,140,64.89,-17.7,69.92,701
113,150,59.96,3.25,63.26,701
113,160,61.13,4.35,67.94,701
113,170,61.99,4.62,72.45,701
113,180,61.95,2.93,75.42,701
113,190,61.95,2.93,75.42,701
113,200,61.95,2.93,75.42,701
119,50,75.92,-3.53,16.24,701
119,60,81.61,5.12,19.13,701
119,70,81.63,-6.51,22.37,701
119,80,78.24,-18.76,27.5,701
119,90,72.32,-20.87,34.64,701
119,100,65.5,-20.95,45.52,701
119,110,62.24,-19.95,51.02,701
119,120,59.21,-15.81,58.64,701
119,130,55.28,-1.06,57.44,701
119,140,50.14,11.25,56.88,701
119,150,48.78,15.44,58.68,701
201,50,58.18,-31.17,20.48,701
201,60,62.49,-32.81,23.31,701
201,70,63.53,-33.44,26.08,701
201,80,62.69,-34.34,31.5,701
201,90,59.05,-34.52,37.33,701
201,100,55.66,-34.79,43.34,701
201,110,53.06,-34.96,49.45,701
201,120,51.64,-35,52.83,701
201,130,50.13,-32.83,55.33,701
201,140,46.8,-30.5,55.8,701
201,150,46.8,-30.5,55.8,701
201,160,46.8,-30.5,55.8,701
201,170,46.8,-30.5,55.8,701
201,180,46.8,-30.5,55.8,701
201,190,46.8,-30.5,55.8,701
201,200,46.8,-30.5,55.8,701
202,50,58.18,-31.17,20.48,701
202,60,62.49,-32.81,23.31,701
202,70,63.53,-33.44,26.08,701
202,80,62.69,-34.34,31.5,701
202,90,59.05,-34.52,37.33,701
202,100,55.66,-34.79,43.34,701
202,110,53.06,-34.96,49.45,701
202,120,51.64,-35,52.83,701
202,130,48.47,-33.36,55.45,701
202,140,47.5,-33.3,56.09,701
202,150,47.5,-33.3,56.2,701
202,160,47.5,-33.3,56.2,701
202,170,47.5,-33.3,56.2,701
202,180,47.5,-33.3,56.2,701
202,190,47.5,-33.3,56.2,701
202,200,47.5,-33.3,56.2,701
205,50,75.92,-3.53,16.24,701
205,60,81.61,5.12,19.13,701
205,70,81.63,-6.51,22.37,701
205,80,78.24,-18.76,27.5,701
205,90,72.32,-20.87,34.64,701
205,100,65.5,-20.95,45.52,701
205,110,62.24,-19.95,51.02,701
205,120,59.86,-18.9,59.59,701
205,130,60.11,-18.4,62.47,701
205,140,60.44,-18.13,64.94,701
205,150,68.17,14.57,60.01,701
205,160,66.82,60.98,61.13,701
205,170,53.66,95.16,66.62,701
205,180,47.47,101,68.15,701
205,190,47.47,101,68.15,701
205,200,47.47,101,68.15,701
291,50,58.18,-31.17,20.48,701
291,60,62.49,-32.81,23.31,701
291,70,63.53,-33.44,26.08,701
291,80,62.69,-34.34,31.5,701
291,90,59.05,-34.52,37.33,701
291,100,55.66,-34.79,43.34,701
291,110,53.06,-34.96,49.45,701
291,120,51.64,-35,52.83,701
291,130,48.46,-33.36,56.11,701
291,140,47.5,-33.3,57.14,701
291,150,47.5,-33.3,57.3,701
291,160,47.5,-33.3,57.3,701
291,170,47.5,-33.3,57.3,701
291,180,47.5,-33.3,57.3,701
291,190,47.5,-33.3,57.3,701
291,200,47.5,-33.3,57.3,701
301,50,30.76,-16.74,10.02,701
301,60,34.76,-15.72,12.58,701
301,70,35.37,-16.08,14.91,701
301,80,36.05,-15.21,16.93,701
301,90,37.77,-12.31,23.16,701
301,100,36.71,-10.32,31.72,701
301,110,37.93,-8.02,39.95,701
301,120,38.94,-6.08,48.25,701
301,130,40.47,-5.46,50.83,701
301,140,41.82,-5.03,53.01,701
301,150,43.28,-4.65,55.62,701
301,160,45.68,-2.88,59.75,701
301,170,47.49,-1.77,63.91,701
301,180,47.83,-2.32,66.97,701
301,190,47.83,-2.32,66.97,701
301,200,47.83,-2.32,66.97,701
304,50,31.29,-15.24,6.84,701
304,60,36.65,-14.68,7.93,701
304,70,34.77,-17.43,8.49,701
304,80,33.76,-17.49,8.85,701
304,90,35.86,-14.02,12.79,701
304,100,34.8,-10.17,20.5,701
304,110,37.01,-7.08,27.86,701
304,120,17.78,6.38,8.18,701
304,130,-14.91,9.87,4.92,701
304,140,2.79,7.12,5.66,701
304,150,4.97,5.65,5.94,701
304,160,35.06,-0.73,12.37,701
304,170,42.19,-3.51,19.87,701
304,180,44.23,-5.4,19.26,701
304,190,45.53,-6.09,15.6,701
304,200,44.39,-6.76,14.91,701
315,50,30.76,-16.74,10.02,701
315,60,34.76,-15.72,12.58,701
315,70,35.37,-16.08,14.91,701
315,80,36.05,-15.21,16.93,701
315,90,37.77,-12.31,23.16,701
315,100,36.71,-10.32,31.72,701
315,110,37.93,-8.02,39.95,701
315,120,38.94,-6.08,48.25,701
315,130,40.47,-5.46,50.83,701
315,140,41.82,-5.03,53.01,701
315,150,43.28,-4.65,55.62,701
315,160,45.68,-2.88,59.75,701
315,170,47.49,-1.77,63.91,701
315,180,47.83,-2.32,66.97,701
315,190,47.83,-2.32,66.97,701
315,200,47.83,-2.32,66.97,701
317,50,32.85,-16.92,11.15,701
317,60,32.56,-15.86,11.21,701
317,70,33.4,-15.87,12.88,701
317,80,36.22,-14.52,16.98,701
317,90,38.67,-12.22,24.19,701
317,100,37.51,-10.46,32.99,701
317,110,38.49,-8.2,41.13,701
317,120,39.32,-6.18,49.1,701
317,130,40.8,-5.55,51.69,701
317,140,42.11,-5.13,53.87,701
317,150,43.54,-4.73,56.48,701
317,160,45.88,-2.97,60.62,701
401,50,30.76,-16.74,10.02,701
401,60,34.76,-15.72,12.58,701
401,70,35.37,-16.08,14.91,701
401,80,36.05,-15.21,16.93,701
401,90,37.77,-12.31,23.16,701
401,100,36.71,-10.32,31.72,701
401,110,37.93,-8.02,39.95,701
401,120,38.94,-6.08,48.25,701
401,130,40.47,-5.46,50.83,701
401,140,41.82,-5.03,53.01,701
401,150,43.28,-4.65,55.62,701
401,160,45.68,-2.88,59.75,701
401,170,47.49,-1.77,63.91,701
401,180,47.83,-2.32,66.97,701
401,190,47.83,-2.32,66.97,701
401,200,47.83,-2.32,66.97,701
409,50,-83.26,73.35,-34.99,701
409,60,-83.93,57.33,-38.19,701
409,70,-83.63,67.58,-41.38,701
409,80,82.22,-88.05,46.22,701
409,90,78.67,-63.5,52.63,701
409,100,73.14,-50.03,59.43,701
409,110,69.49,-43.89,67.19,701
409,120,66.56,-38.33,74.25,701
409,130,66.39,-37.46,77.13,701
409,140,66.36,-36.94,79.6,701
409,150,66.31,-36.48,82.54,701
453,50,30.76,-16.74,10.02,701
453,60,34.76,-15.72,12.58,701
453,70,35.37,-16.08,14.91,701
453,80,36.05,-15.21,16.93,701
453,90,37.77,-12.31,23.16,701
453,100,36.71,-10.32,31.72,701
453,110,37.93,-8.02,39.95,701
453,120,38.94,-6.08,48.25,701
453,130,40.47,-5.46,50.83,701
501,50,20.31,39.91,-24.76,701
501,60,16.15,31.51,-37.18,701
501,70,19.05,23.05,-45.6,701
501,80,21.13,21.18,-51.24,701
501,90,20.04,27.46,-58.77,701
501,100,21.28,28.85,-56.82,701
501,110,22.59,30.35,-54.92,701
501,120,23.96,31.97,-53.08,701
501,130,21.38,36.37,-60.03,701
501,140,22.1,37.69,-61.45,701
501,150,24.29,40.59,-62.84,701
501,160,29.93,42.29,-60.47,701
501,170,29.93,42.29,-60.47,701
501,180,29.93,42.29,-60.47,701
501,190,29.93,42.29,-60.47,701
501,200,29.93,42.29,-60.47,701
503,50,28.24,17.92,-8.21,701
503,60,28.24,17.92,-8.21,701
503,70,28.24,17.92,-8.21,701
503,80,28.24,17.92,-8.21,701
503,90,28.24,17.92,-8.21,701
503,100,28.24,17.92,-8.21,701
503,110,28.24,17.92,-8.21,701
503,120,28.24,17.92,-8.21,701
503,130,28.24,17.92,-8.21,701
503,140,28.24,17.92,-8.21,701
503,150,28.24,17.92,-8.21,701
503,160,28.24,17.92,-8.21,701
503,170,28.24,17.92,-8.21,701
503,180,28.24,17.92,-8.21,701
503,190,28.24,17.92,-8.21,701
503,200,28.24,17.92,-8.21,701
508,50,36.79,31.31,-3.62,701
508,60,36.79,31.31,-3.62,701
508,70,36.79,31.31,-3.62,701
508,80,36.79,31.31,-3.62,701
508,90,36.79,31.31,-3.62,701
508,100,36.79,31.31,-3.62,701
508,110,36.79,31.31,-3.62,701
508,120,36.79,31.31,-3.62,701
508,130,36.79,31.31,-3.62,701
508,140,36.79,31.31,-3.62,701
508,150,36.79,31.31,-3.62,701
508,160,36.79,31.31,-3.62,701
508,170,36.79,31.31,-3.62,701
508,180,36.79,31.31,-3.62,701
508,190,36.79,31.31,-3.62,701
508,200,36.79,31.31,-3.62,701
511,50,17.56,40.99,-27.74,701
511,60,15.75,31.5,-37.89,701
511,70,16.57,24.11,-47.45,701
511,80,18.28,22.79,-52.07,701
511,90,16.39,30.3,-62.54,701
511,100,17.53,31.7,-60.65,701
514,50,9.08,-40.87,9.63,701
514,60,10.62,-47.37,10.78,701
514,70,0.36,-43.28,12.16,701
514,80,-2.74,-37.26,16.1,701
514,90,1.41,-37.04,22.29,701
514,100,-3.06,-33.49,26.81,701
514,110,-7.42,-29.25,33.92,701
514,120,-10.27,-26.42,41.26,701
514,130,6.63,145.29,-40.25,701
601,50,30.76,-16.74,10.02,701
601,60,34.76,-15.72,12.58,701
601,70,35.37,-16.08,14.91,701
601,80,36.05,-15.21,16.93,701
601,90,37.77,-12.31,23.16,701
601,100,36.71,-10.32,31.72,701
601,110,37.93,-8.02,39.95,701
601,120,38.94,-6.08,48.25,701
601,130,40.47,-5.46,50.83,701
602,50,30.76,-16.74,10.02,701
602,60,34.76,-15.72,12.58,701
602,70,35.37,-16.08,14.91,701
602,80,36.05,-15.21,16.93,701
602,90,37.77,-12.31,23.16,701
602,100,36.71,-10.32,31.72,701
602,110,37.93,-8.02,39.95,701
602,120,38.94,-6.08,48.25,701
602,130,40.47,-5.46,50.83,701
608,50,-14.63,-36.58,-76.7,701
608,60,-17.02,-30.53,-73.14,701
608,70,-19.97,-26.06,-68.63,701
608,80,-25.64,-18.73,-63.33,701
610,50,-15.28,-21.26,-59.43,701
611,50,-17.94,-28.54,-69.4,701
699,50,-15.58,-15.55,-47.92,701
701,50,0,0,0,701
701,60,0,0,0,701
701,70,0,0,0,701
701,80,0,0,0,701
701,90,0,0,0,701
701,100,0,0,0,701
701,110,0,0,0,701
701,120,0,0,0,701
701,130,0,0,0,701
701,140,0,0,0,701
701,150,0,0,0,701
701,160,0,0,0,701
701,170,0,0,0,701
701,180,0,0,0,701
701,190,0,0,0,701
701,200,0,0,0,701
702,50,0,0,0,701
702,60,0,0,0,701
702,70,0,0,0,701
702,80,0,0,0,701
702,90,0,0,0,701
702,100,0,0,0,701
702,110,0,0,0,701
702,120,0,0,0,701
702,130,2.57,-63.33,3.86,701
702,140,0.65,-55.35,7.42,701
702,150,-4.61,-59.81,11.09,701
702,160,-14.73,-42.38,15.64,701
702,170,-14.73,-42.38,15.64,701
702,180,-14.73,-42.38,15.64,701
702,190,-14.73,-42.38,15.64,701
702,200,-14.73,-42.38,15.64,701
704,50,0,0,0,701
704,60,0,0,0,701
704,70,3.88,30.72,-14.2,701
704,80,2.03,39.21,-24.22,701
704,90,1.69,40.73,-27.79,701
704,100,1.69,40.73,-27.79,701
704,110,1.69,40.73,-27.79,701
704,120,1.69,40.73,-27.79,701
704,130,-3.08,-131.88,28.96,701
704,140,-4.91,-124.96,29.49,701
704,150,-7.84,-119.83,31.73,701
704,160,-15.99,-111.15,30.3,701
704,170,-15.99,-111.15,30.3,701
704,180,-15.99,-111.15,30.3,701
704,190,-15.99,-111.15,30.3,701
704,200,-15.99,-111.15,30.3,701
709,50,-9.9,-37,0.22,701
709,60,-9.9,-37,0.22,701
709,70,-9.9,-37,0.22,701
709,80,-9.9,-37,0.22,701
709,90,-9.9,-37,0.22,701
709,100,-9.9,-37,0.22,701
709,110,-9.9,-37,0.22,701
709,120,-9.9,-37,0.22,701
709,130,-9.9,-37,0.22,701
709,140,-9.9,-37,0.22,701
709,150,-9.9,-37,0.22,701
709,160,-9.9,-37,0.22,701
709,170,-9.9,-37,0.22,701
709,180,-9.9,-37,0.22,701
709,190,-9.9,-37,0.22,701
709,200,-9.9,-37,0.22,701
710,50,15.4,37.48,-18.56,701
710,60,15.4,37.48,-18.56,701
710,70,15.4,37.48,-18.56,701
710,80,15.4,37.48,-18.56,701
710,90,15.4,37.48,-18.56,701
710,100,15.4,37.48,-18.56,701
710,110,15.4,37.48,-18.56,701
710,120,15.4,37.48,-18.56,701
710,130,15.4,37.48,-18.56,701
710,140,15.4,37.48,-18.56,701
710,150,15.4,37.48,-18.56,701
710,160,15.4,37.48,-18.56,701
710,170,15.4,37.48,-18.56,701
710,180,15.4,37.48,-18.56,701
710,190,15.4,37.48,-18.56,701
710,200,15.4,37.48,-18.56,701
712,50,-17.8,37.1,2.5,701
712,60,-17.8,37.1,2.5,701
712,70,-17.8,37.1,2.5,701
712,80,-17.8,37.1,2.5,701
712,90,-17.8,37.1,2.5,701
712,100,-17.8,37.1,2.5,701
712,110,-17.8,37.1,2.5,701
712,120,-17.8,37.1,2.5,701
712,130,-17.8,37.1,2.5,701
712,140,-17.8,37.1,2.5,701
712,150,-17.8,37.1,2.5,701
712,160,-17.8,37.1,2.5,701
712,170,-17.8,37.1,2.5,701
712,180,-17.8,37.1,2.5,701
712,190,-17.8,37.1,2.5,701
712,200,-17.8,37.1,2.5,701
714,50,0,0,0,701
714,60,0,0,0,701
714,70,0,0,0,701
714,80,0,0,0,701
714,90,16.5,6.7,1.39,701
714,100,16.5,6.7,3.53,701
714,110,16.5,6.7,5.66,701
714,120,16.5,6.7,7.8,701
714,130,16.5,6.7,7.8,701
714,140,16.5,6.7,7.8,701
714,150,16.5,6.7,7.8,701
714,160,16.5,6.7,7.8,701
714,170,16.5,6.7,7.8,701
714,180,16.5,6.7,7.8,701
714,190,16.5,6.7,7.8,701
714,200,16.5,6.7,7.8,701
715,50,0,0,0,701
715,60,0,0,0,701
715,70,0,0,0,701
715,80,0,0,0,701
715,90,40.5,-61.4,-0.12,701
715,100,40.5,-61.4,-0.31,701
715,110,40.5,-61.4,-0.5,701
715,120,40.5,-31.4,-0.69,701
715,130,40.5,-61.4,-0.7,701
715,140,40.5,-61.4,-0.7,701
715,150,40.5,-61.4,-0.7,701
715,160,40.5,-61.4,-0.7,701
715,170,40.5,-61.4,-0.7,701
715,180,40.5,-61.4,-0.7,701
715,190,40.5,-61.4,-0.7,701
715,200,40.5,-61.4,-0.7,701
801,50,-14.66,-123.47,23.63,701
801,60,-12.86,-122.14,25.73,701
801,70,-17.29,-119.76,26.27,701
801,80,-20.46,-111.47,26.57,701
801,90,-17.74,-99.13,28.87,701
801,100,-18.38,-90.67,30.72,701
801,110,-17.33,-78.99,34.83,701
801,120,-16.39,-70.63,40.28,701
801,130,17.96,111.65,-43.97,701
801,140,19.55,114.05,-47.34,701
801,150,21.44,114.74,-50.92,701
801,160,-29.2,-57.2,54,701
801,170,-29.2,-57.2,54,701
801,180,-29.2,-57.2,54,701
801,190,-29.2,-57.2,54,701
801,200,-29.2,-57.2,54,701
802,50,9.08,-40.87,9.63,701
802,60,10.62,-47.37,10.78,701
802,70,0.36,-43.28,12.16,701
802,80,-2.74,-37.26,16.1,701
802,90,1.41,-37.04,22.29,701
802,100,-3.06,-33.49,26.81,701
802,110,-7.42,-29.25,33.92,701
802,120,-10.27,-26.42,41.26,701
802,130,9.05,151.5,-45.29,701
802,140,8.01,150.1,-49.25,701
802,150,7.82,147.69,-52.7,701
802,160,-12.6,-28.1,59.1,701
802,170,-12.6,-28.1,59.1,701
802,180,-12.6,-28.1,59.1,701
802,190,-12.6,-28.1,59.1,701
802,200,-12.6,-28.1,59.1,701
804,50,5.42,-37.25,11.06,701
804,60,6.53,-42.34,12.46,701
804,70,-2.08,-39.34,14.09,701
804,80,-4.28,-34.8,18.13,701
804,90,-4.28,-34.8,18.13,701
804,100,-4.28,-34.8,18.13,701
804,110,-4.28,-34.8,18.13,701
804,120,-4.28,-34.8,18.13,701
804,130,-4.28,-34.8,18.13,701
804,140,-4.28,-34.8,18.13,701
804,150,-4.28,-34.8,18.13,701
804,160,-4.28,-34.8,18.13,701
804,170,-4.28,-34.8,18.13,701
804,180,-4.28,-34.8,18.13,701
804,190,-4.28,-34.8,18.13,701
804,200,-4.28,-34.8,18.13,701
833,50,-14.66,-123.47,23.63,701
833,60,-9.05,-114.07,26.93,701
833,70,-5.15,-99.91,30.07,701
833,80,-11.11,-91.17,33.93,701
833,90,-5.65,-79.16,41.25,701
833,100,-6.68,-74.72,44.36,701
833,110,-7.11,-68.55,50.04,701
833,120,-7.62,-64.06,56.39,701
833,130,9.3,116.8,-60.13,701
833,140,10.99,117.9,-63.55,701
833,150,12.82,117.79,-66.97,701
833,160,-19.91,-57.41,69.71,701
833,170,-19.91,-57.41,69.71,701
833,180,-19.91,-57.41,69.71,701
833,190,-19.91,-57.41,69.71,701
833,200,-19.91,-57.41,69.71,701
901,50,60.1,-53.38,43.81,701
901,60,58.12,-58.34,50.8,701
901,70,54.5,-58.76,57.54,701
901,80,50.82,-57.55,67.78,701
907,50,72.12,-19.89,-36.14,701
907,60,-58.43,75.37,5.21,701
911,50,-45.76,2.44,36.68,701
911,60,-41.99,9.8,44.72,701
927,50,-17.94,-28.54,-69.41,701
927,60,-20.79,-14.22,-62.13,701
927,70,-23.73,-7.74,-58.81,701
927,80,-29.1,2.87,-55.42,701
2007,50,42.45,-6.85,10.39,701
2007,60,43.5,11.15,10.51,701
2007,70,38.8,19.45,12.42,701
2007,80,38.69,20.33,18.62,701
