Plate ID,Age,lat,lon,rot,rot_rel_plate_ID
101,0,0,0,0,701
101,10,80.89,22.85,2.57,701
101,20,80.61,24.4,5.5,701
101,30,77.35,12.46,8.6,701
101,40,74.48,-1.08,12.56,701
101,50,75.92,-3.53,16.24,701
101,60,81.61,5.12,19.13,701
101,70,81.63,-6.51,22.37,701
101,80,78.24,-18.76,27.5,701
101,90,74.27,-22.7,33.92,701
101,100,69.42,-23.52,40.46,701
101,110,67.51,-22.12,47.52,701
101,120,66.01,-20.57,54.23,701
101,130,64.82,-17.42,59.16,701
101,140,65.11,-16.4,61.83,701
101,150,65.08,-16.12,64.94,701
101,160,65.84,-13.76,68.38,701
101,170,65.87,-12.79,72.35,701
101,180,64.76,-13.44,74.95,701
101,190,63.71,-14.01,77.58,701
101,200,63.2,-14.13,79.22,701
101,210,63.2,-14.13,79.22,701
101,220,63.2,-14.13,79.22,701
101,230,63.2,-14.13,79.22,701
101,240,63.2,-14.13,79.22,701
101,250,63.2,-14.13,79.22,701
101,260,63.2,-14.13,79.22,701
101,270,63.2,-14.13,79.22,701
101,280,63.2,-14.13,79.22,701
101,290,63.2,-14.13,79.22,701
101,300,63.2,-14.13,79.22,701
101,310,63.2,-14.13,79.22,701
101,320,63.2,-14.13,79.22,701
101,320,0,0,0,101
101,330,0,0,0,101
101,340,0,0,0,101
101,350,0,0,0,101
101,360,0,0,0,101
101,370,0,0,0,101
101,380,0,0,0,101
101,390,0,0,0,101
101,400,0,0,0,101
101,410,0,0,0,101
101,420,0,0,0,101
101,430,0,0,0,101
101,440,0,0,0,101
101,450,0,0,0,101
101,460,0,0,0,101
101,470,0,0,0,101
101,480,0,0,0,101
101,490,0,0,0,101
101,500,0,0,0,101
101,510,0,0,0,101
101,520,0,0,0,101
101,530,0,0,0,101
102,0,0,0,0,701
102,10,80.89,22.85,2.57,701
102,20,80.61,24.4,5.5,701
102,30,77.35,12.46,8.6,701
102,40,72.57,9.52,11.48,701
102,50,71.01,20.73,14.15,701
102,60,71.85,30.54,17.54,701
102,70,69.82,29,17.88,701
102,80,67.64,21,19.81,701
102,90,65.57,11.22,24.3,701
102,100,61.96,2.54,30.43,701
102,110,61.23,0.57,37.11,701
102,120,60.56,-0.04,43.51,701
102,130,59.75,1.59,48.54,701
102,140,60.47,2.23,51.18,701
102,150,60.92,1.95,54.27,701
102,160,62.07,4.11,57.67,701
102,170,62.55,4.51,61.62,701
102,180,61.67,3.02,64.33,701
102,190,60.83,1.72,67.05,701
102,200,60.45,1.23,68.75,701
102,210,60.45,1.23,68.75,701
102,220,60.45,1.23,68.75,701
