Plate-ID,Age,lat,lon,rot
101,0,0,0,0
101,10,80.89,22.85,2.57
101,20,80.61,24.4,5.5
101,30,77.35,12.46,8.6
101,40,74.48,-1.08,12.56
101,50,75.92,-3.53,16.24
101,60,81.61,5.12,19.13
101,70,81.63,-6.51,22.37
101,80,78.24,-18.76,27.5
101,90,74.27,-22.7,33.92
101,100,69.42,-23.52,40.46
101,110,67.51,-22.12,47.52
101,120,66.01,-20.57,54.23
101,130,64.82,-17.42,59.16
101,140,65.11,-16.4,61.83
101,150,65.08,-16.12,64.94
101,160,65.84,-13.76,68.38
101,170,65.87,-12.79,72.35
101,180,64.76,-13.44,74.95
101,190,63.71,-14.01,77.58
101,200,63.2,-14.13,79.22
102,0,0,0,0
102,10,80.89,22.85,2.57
102,20,80.61,24.4,5.5
102,30,77.35,12.46,8.6
102,40,72.57,9.52,11.48
102,50,71.01,20.73,14.15
102,60,71.85,30.54,17.54
102,70,69.82,29,17.88
102,80,67.64,21,19.81
102,90,65.57,11.22,24.3
102,100,61.96,2.54,30.43
102,110,61.23,0.57,37.11
102,120,60.56,-0.04,43.51
102,130,59.75,1.59,48.54
102,140,60.47,2.23,51.18
102,150,60.92,1.95,54.27
102,160,62.07,4.11,57.67
102,170,62.55,4.51,61.62
102,180,61.67,3.02,64.33
102,190,60.83,1.72,67.05
102,200,60.45,1.23,68.75
103,0,0,0,0
103,10,80.89,22.85,2.57
103,20,80.61,24.4,5.5
103,30,77.35,12.46,8.6
103,40,74.48,-1.08,12.56
103,50,75.92,-3.53,16.24
103,60,81.61,5.12,19.13
103,70,81.63,-6.51,22.37
103,80,78.24,-18.76,27.5
103,90,74.27,-22.7,33.92
103,100,69.42,-23.52,40.46
103,110,67.51,-22.12,47.52
103,120,66.01,-20.57,54.23
103,130,64.35,-14.23,57.74
103,140,60.56,2.73,53.22
103,150,44.55,25.26,44.84
103,160,47.05,27.12,47.81
103,170,49.05,27.3,51.42
103,180,49.19,25.47,54.17
103,190,49.3,23.81,56.94
103,200,49.44,23.09,58.64
104,0,0,0,0
104,10,80.89,22.85,2.57
104,20,80.61,24.4,5.5
104,30,77.35,12.46,8.6
104,40,74.48,-1.08,12.56
104,50,75.92,-3.53,16.24
104,60,81.61,5.12,19.13
104,70,81.63,-6.51,22.37
104,80,78.24,-18.76,27.5
104,90,74.27,-22.7,33.92
104,100,69.42,-23.52,40.46
104,110,67.51,-22.12,47.52
104,120,66.01,-20.57,54.23
104,130,64.82,-17.42,59.16
104,140,65.11,-16.4,61.83
104,150,65.08,-16.12,64.94
104,160,66.08,-14.16,67.84
104,170,66.42,-13.72,71.06
104,180,65.26,-14.33,73.65
104,190,64.17,-14.85,76.27
104,200,63.63,-14.94,77.91
105,0,0,0,0
105,10,66.2,-46.67,7.89
105,20,71.36,-37.57,10.66
105,30,71.75,-28.28,13.73
105,40,70.49,-25.04,17.74
105,50,72.09,-23.75,21.41
105,60,77.19,-22.57,24.16
105,70,77.27,-25.86,27.43
105,80,74.77,-28.31,32.68
105,90,71.75,-28.45,39.19
105,100,67.71,-27.67,45.8
113,0,0,0,0
113,10,80.89,22.85,2.57
113,20,80.61,24.4,5.5
113,30,77.35,12.46,8.6
113,40,74.48,-1.08,12.56
113,50,75.92,-3.53,16.24
113,60,81.61,5.12,19.13
113,70,81.63,-6.51,22.37
113,80,78.24,-18.76,27.5
113,90,74.27,-22.7,33.92
113,100,69.42,-23.52,40.46
113,110,67.51,-22.12,47.52
113,120,66.01,-20.57,54.23
113,130,66.96,-20.5,62.48
113,140,69.35,-14.78,67.17
113,150,63.62,8.84,60.13
113,160,64.5,10.81,63.6
113,170,64.89,10.8,67.57
113,180,64.16,8.71,70.21
113,190,63.45,6.85,72.87
113,200,63.12,6.06,74.54
119,0,0,0,0
119,10,80.89,22.85,2.57
119,20,80.61,24.4,5.5
119,30,77.35,12.46,8.6
119,40,74.48,-1.08,12.56
119,50,75.92,-3.53,16.24
119,60,81.61,5.12,19.13
119,70,81.63,-6.51,22.37
119,80,78.24,-18.76,27.5
119,90,74.27,-22.7,33.92
119,100,69.42,-23.52,40.46
119,110,67.51,-22.12,47.52
119,120,65.36,-16.64,53.14
119,130,59.51,2.64,53.56
